Name,Amount
Abraham Lincoln ,3
Dick Cheney ,3
Elian Gonzalez ,3
Franklin D Roosevelt ,3
George H.W. Bush ,3
Greta Thunberg ,3
Jacqueline Kennedy ,3
Jesus ,3
John F. Kennedy ,3
Karl Rove ,3
Leonardo DiCaprio ,3
Mark Zuckerberg ,3
Michelle Obama ,3
Pope Francis ,3
Prince Harry ,3
Rand Paul ,3
Rudy Giuliani ,3
Taylor Swift ,3
Xi Jinping ,3
John Roberts ,4
Sarah Palin ,4
Bernie Sanders ,5
Elizabeth Warren ,5
Kamala Harris ,5
Michael Bloomberg ,5
Osama Bin Laden ,5
Pope Benedict XVI ,5
Ronald Reagan ,5
Steve Jobs ,5
Vladimir Putin ,5
Bill Clinton ,6
John Kerry ,6
Nancy Pelosi ,6
Saddam Hussein ,6
Al Gore ,9
Joe Biden ,10
John McCain ,10
Mitt Romney ,10
Hillary Clinton ,15
Donald Trump ,27
George W Bush ,31
Barack Obama ,35
