State,wilderness_acres,non-wilderness,state_total
Alabama,42218,32636182,32678400
Alaska,57757130,307724470,365481600
Arizona,4512066,68175934,72688000
Arkansas,153342,33446018,33599360
California,15348149,84858571,100206720
Colorado,3734992,62750768,66485760
Connecticut,0,3135360,3135360
Delaware,0,1265920,1265920
District of Columbia,0,39040,39040
Florida,1421395,33299885,34721280
Georgia,488679,36806681,37295360
Hawaiia,147819,3957781,4105600
Idaho,4795700,48137420,52933120
Illinois,32172,35763028,35795200
Indiana,12472,23145928,23158400
Iowa,0,35860480,35860480
Kansas,0,52510720,52510720
Kentucky,17187,25495133,25512320
Louisiana,17047,28850793,28867840
Maine,18628,19829052,19847680
Maryland,0,6319360,6319360
Massachusetts,3244,5031636,5034880
Michigan,291308,36200852,36492160
Minnesota,820621,50385139,51205760
Mississippi,10656,30212064,30222720
Missouri,71914,44176406,44248320
Montana,3501359,89769681,93271040
Nebraska,12437,49019243,49031680
Nevada,3448359,66815961,70264320
New Hampshire,138407,5630553,5768960
New Jersey,10341,4803099,4813440
New Mexico,1982124,75784276,77766400
New York,1380,30679580,30680960
North Carolina,111504,31291376,31402880
North Dakota,39652,44412828,44452480
Ohio,77,26222003,26222080
Oklahoma,24040,44063640,44087680
Oregon,2507014,59091706,61598720
Pennsylvania,9005,28795475,28804480
Rhode Island,0,677120,677120
South Carolina,67237,19306843,19374080
South Dakota,77678,48804242,48881920
Tennessee,86099,26641581,26727680
Texas,85167,168132433,168217600
Utah,1819062,50877898,52696960
Vermont,100874,5835766,5936640
Virginia,217157,25279163,25496320
Washington,4484466,38209294,42693760
West Virginia,118811,15291749,15410560
Wisconsin,79967,34931233,35011200
Wyoming,3067728,59275312,62343040
