State,wilderness_acres,non-wilderness
Alabama,42218,32636182
Alaska,57757130,307724470
Arizona,4512066,68175934
Arkansas,153342,33446018
California,15348149,84858571
Colorado,3734992,62750768
Connecticut,0,3135360
Delaware,0,1265920
District of Columbia,0,39040
Florida,1421395,33299885
Georgia,488679,36806681
Hawaiia,147819,3957781
Idaho,4795700,48137420
Illinois,32172,35763028
Indiana,12472,23145928
Iowa,0,35860480
Kansas,0,52510720
Kentucky,17187,25495133
Louisiana,17047,28850793
Maine,18628,19829052
Maryland,0,6319360
Massachusetts,3244,5031636
Michigan,291308,36200852
Minnesota,820621,50385139
Mississippi,10656,30212064
Missouri,71914,44176406
Montana,3501359,89769681
Nebraska,12437,49019243
Nevada,3448359,66815961
New Hampshire,138407,5630553
New Jersey,10341,4803099
New Mexico,1982124,75784276
New York,1380,30679580
North Carolina,111504,31291376
North Dakota,39652,44412828
Ohio,77,26222003
Oklahoma,24040,44063640
Oregon,2507014,59091706
Pennsylvania,9005,28795475
Rhode Island,0,677120
South Carolina,67237,19306843
South Dakota,77678,48804242
Tennessee,86099,26641581
Texas,85167,168132433
Utah,1819062,50877898
Vermont,100874,5835766
Virginia,217157,25279163
Washington,4484466,38209294
West Virginia,118811,15291749
Wisconsin,79967,34931233
Wyoming,3067728,59275312
